TIME,27.4658,30.2124,32.959,35.7056,38.4521,41.1987,43.9453,46.6919,49.4385,52.1851,54.9316,57.6782,60.4248,63.1714,65.918,68.6646,71.4111,74.1577,76.9043,79.6509,82.3975,85.144,87.8906,90.6372,93.3838,96.1304,98.877,101.624,104.37,107.117,109.863,112.61,115.356,118.103,120.85,123.596,126.343,129.089,131.836,134.583,137.329,140.076,142.822,145.569,148.315,151.062,153.809,156.555,159.302,162.048,164.795,167.542,170.288,173.035,175.781,178.528,181.274,184.021,186.768,189.514,192.261,195.007,197.754,200.5,203.247,205.994,208.74,211.487,214.233,216.98,219.727,222.473,225.22,227.966,230.713,233.459,236.206,238.953,241.699,244.446,247.192,249.939,252.686,255.432,258.179,260.925,263.672,266.418,269.165,271.912,274.658,277.405,280.151,282.898,285.645,288.391,291.138,293.884,296.631,299.377,302.124,304.871,307.617,310.364,313.11,315.857,318.604,321.35,324.097,326.843,329.59,332.336,335.083,337.83,340.576,343.323,346.069,348.816,351.562,354.309,357.056,359.802,362.549,365.295,368.042,370.789,373.535,376.282,379.028,381.775,384.521,387.268,390.015,392.761,395.508,398.254,401.001,403.748,406.494,409.241,411.987,414.734,417.48,420.227,422.974,425.72,428.467,431.213,433.96,436.707,439.453,442.2,444.946,447.693,450.439,453.186,455.933,458.679,461.426,464.172,466.919,469.666,472.412,475.159,477.905,480.652
0.000000000,25.8888,35.2165,29.8605,20.1224,29.5379,43.5569,38.8583,27.7742,21.857,18.6015,16.1358,20.1642,28.0687,18.4572,6.1363,17.6906,28.4782,24.374,21.9156,21.3316,20.0858,22.397,24.04,21.8692,16.9716,8.64487,10.6655,22.3713,16.3958,4.18606,7.79944,13.0909,15.1996,18.8588,18.938,12.2906,7.09505,14.1401,21.1412,14.141,5.52575,6.58344,9.92789,9.03854,6.78693,5.47572,6.39083,8.63552,13.3711,19.5287,12.6407,3.07977,12.5267,19.6947,12.4758,8.63111,7.14983,4.0322,6.19419,11.1267,10.9918,6.69655,6.15728,14.8692,22.7605,15.8752,9.0045,14.2496,17.6782,16.8664,15.9545,13.031,6.97164,5.2607,17.8082,24.2865,12.5457,8.94819,16.9248,20.1609,22.8129,26.1103,22.5466,18.3314,19.3519,22.4067,24.8211,15.9802,5.53466,16.385,25.7259,18.375,17.3229,20.4607,19.8368,26.2209,39.1389,41.5863,26.8408,16.4893,23.0923,28.7143,21.6096,13.7989,13.5443,15.1255,19.2843,24.268,25.29,22.956,20.6056,34.9119,50.9217,35.3312,16.4338,18.4943,18.4824,16.0785,20.0709,18.0001,10.667,12.4692,22.4735,29.6337,25.9961,17.5685,22.7706,32.3213,27.0318,19.7839,16.8212,11.5744,9.77248,15.7399,21.4382,13.6443,4.77771,13.5258,22.2244,18.7338,16.5051,16.3597,12.611,13.3449,18.1573,16.6175,11.1597,5.99061,7.59728,15.504,11.4995,3.49183,7.53561,10.7873,11.4853,16.3987,16.1036,8.23856,5.32101,12.213,16.6893,11.1074,4.59497,4.97415,6.99648,6.37535
1.365333333,25.2242,37.0776,30.3201,15.8153,28.4776,47.5504,38.9898,26.0758,20.3656,17.2258,14.3791,18.0805,31.3826,20.4668,2.77606,19.346,31.0455,22.6412,20.9222,20.4993,18.3733,21.6232,24.1932,21.2487,17.2712,7.20033,8.75392,27.1339,19.202,2.00723,8.13081,12.8209,14.2661,19.2464,19.5303,12.2642,4.79112,14.4974,24.3534,14.8175,3.95773,5.99956,10.2874,8.65225,6.23206,4.65718,5.69559,8.09937,12.4993,22.5182,15.1524,0.909709,14.9945,23.4016,11.2689,7.96871,7.22616,2.87897,5.64041,11.7548,11.3236,5.7829,4.68918,15.1363,26.3688,16.2455,6.36804,14.811,17.5281,16.2066,15.8515,12.7767,6.56858,3.17749,20.1621,29.0831,11.0613,6.99797,17.6326,19.1459,21.8635,26.8804,21.9069,16.2708,18.5022,21.2733,26.1752,17.4961,2.52851,18.0077,29.2528,15.7717,16.0108,20.2192,17.3825,24.6894,40.5876,45.3316,25.9952,12.9002,22.6436,30.3687,21.1574,11.5028,12.5013,13.5299,18.1005,24.3285,24.128,22.4638,16.9138,34.488,59.8917,37.3708,12.0717,18.6395,17.7962,13.7042,20.5141,18.2922,8.49549,10.7988,22.5988,30.7679,26.7144,14.424,21.4007,35.6882,26.5268,18.1154,16.8248,10.1535,8.12381,15.0582,23.8663,14.8631,2.2827,14.5905,24.5223,17.5999,15.4372,16.5367,11.2184,11.8581,19.3706,16.6671,10.7193,5.02934,6.15371,18.4765,13.2904,1.62545,8.21023,10.6867,10.0919,17.4657,17.4978,7.60658,3.69063,12.9326,18.8037,11.5254,3.43611,4.43085,7.18207,5.58677
2.730666667,21.1297,33.9063,26.9309,9.85265,23.7768,45.8543,33.1533,21.0404,15.9642,13.6841,10.8381,13.446,30.8867,21.1217,0.389219,19.4533,29.6569,17.4612,17.27,16.7421,14.3001,17.6253,21.3127,17.2528,15.5001,5.26916,6.21871,29.3634,20.9131,0.432174,7.82117,10.7816,11.2126,17.1629,17.1164,11.0108,2.1649,13.5484,24.3503,13.9119,2.09465,4.85872,9.2422,7.09538,4.8849,3.26357,4.38981,6.45227,9.87024,22.5902,17.1155,0.0127582,16.9751,24.4108,8.59173,6.2347,6.60463,1.50535,4.45497,10.9,10.1187,4.27224,2.7679,13.6382,26.6743,15.1619,3.15145,13.892,14.6841,13.3412,13.5151,10.7341,5.59304,1.25731,20.8678,30.9179,8.62879,4.57138,16.3984,15.1235,18.0696,23.7469,18.531,11.834,15.3874,16.9321,23.9407,17.4876,0.404911,18.6184,29.4535,11.0481,12.6917,17.5559,12.3614,20.1864,35.8386,43.6404,21.6465,8.07161,19.2251,28.0446,17.8782,7.81859,9.98172,10.1462,14.5323,21.1645,19.421,19.0799,11.2924,29.417,62.6274,35.0232,6.63058,16.6023,14.9355,9.49069,18.3272,16.2383,5.48721,8.05064,19.5983,27.5741,23.9419,9.69007,17.2023,35.0562,22.0373,14.0977,14.5244,7.59514,5.5705,12.2649,23.2325,15.0245,0.414099,14.3682,23.7961,13.8194,12.358,14.4089,8.55997,8.64486,18.4383,14.1263,8.9432,3.65485,4.18095,19.6592,14.3568,0.251963,8.2395,9.22365,7.20606,16.4273,16.4403,6.31769,1.86171,12.2784,18.3296,10.6588,1.977,3.45546,6.44817,4.05684
4.096000000,15.4181,26.3192,21.3463,4.34624,16.9708,39.5407,23.1767,14.7741,9.96664,9.31034,6.7529,7.80436,27.2779,20.1374,0.215276,18.2214,24.638,11.0338,11.9255,11.6627,9.18225,11.8006,16.5545,11.1646,12.5364,3.42966,4.08276,28.6255,21.4704,0.294488,6.76034,7.85208,7.22052,13.1508,12.8088,8.6809,0.441904,11.8061,21.0519,11.7868,0.685834,3.6588,6.98794,5.05085,3.25932,1.71047,3.09042,4.13711,6.4489,19.9246,18.0566,1.28608,17.8838,22.7187,5.41363,3.99219,5.66691,0.385102,3.04028,8.93279,7.77946,2.75996,1.03197,11.0575,23.3875,13.3598,0.898891,11.4452,10.5146,9.07417,9.8712,7.66028,4.2289,0.359446,19.9508,29.538,6.12745,2.49542,13.9678,9.35544,12.9376,17.713,13.6244,6.84473,10.7874,11.216,18.749,16.09,0.290037,18.0804,26.7068,5.91788,8.5456,13.4162,6.56312,14.531,26.2606,37.6102,15.16,3.71701,14.3693,22.1897,13.2124,3.9433,6.86994,6.25591,9.66011,16.1892,12.6112,14.1419,5.79991,21.4599,59.0852,29.0308,2.40532,12.9862,11.0479,5.25604,13.8632,12.8811,2.63214,5.08574,14.803,20.7578,19.0813,4.89943,11.7749,30.8565,15.2095,9.46928,10.347,5.0187,3.03908,8.15454,20.1636,14.0223,0.0603607,13.0682,20.2301,8.98586,8.12153,10.9752,5.39938,4.93927,15.8712,9.82059,6.621,2.2259,2.45104,18.8954,14.7061,0.118574,7.43084,7.12547,4.00295,13.5223,13.4419,4.71124,0.629404,10.4985,15.4354,8.80963,0.784417,2.46431,4.90903,2.4465
5.461333333,9.73239,16.8024,15.498,0.880196,10.061,31.0076,12.4835,9.09997,4.60533,5.13968,3.33287,3.27125,21.539,18.0785,1.95633,15.9788,17.7552,5.49427,6.4559,6.96185,4.70738,5.93462,11.4673,5.31783,8.94582,2.42764,2.97679,24.9605,21.4493,1.37387,5.12392,5.03148,3.82202,8.25641,8.18271,5.88711,0.122121,9.88412,15.6412,8.8403,0.389375,2.70931,4.13918,3.40598,1.90553,0.581737,2.0926,2.04567,3.15411,15.7209,17.561,4.33126,17.3777,19.0175,2.73605,2.07153,4.53973,0.0369448,1.75882,6.67521,5.08981,1.65676,0.240611,7.82597,17.8784,11.4027,0.369023,8.23123,6.39158,4.70891,6.26347,4.46834,2.8888,0.453961,18.2186,25.3584,4.26692,1.57358,10.7411,4.18452,7.94427,10.6397,8.99216,2.89755,5.96331,6.10656,12.3498,13.6932,1.92164,16.7569,21.8612,2.25898,4.76441,8.87086,2.23342,9.16352,15.1749,29.5421,8.49549,0.983137,9.91399,14.5147,8.57427,1.23316,3.946,2.97867,5.25705,10.7273,6.07881,9.29578,1.87136,13.331,50.9032,21.4902,0.384295,9.27107,7.29352,2.31259,8.74989,8.98852,0.898246,2.77743,9.58463,12.6708,13.6986,1.52043,6.78802,24.545,8.62162,5.65498,5.73247,3.01829,1.36664,4.20587,15.4544,12.5098,0.9944,11.007,15.1569,4.67073,3.99174,7.44395,2.63786,1.91986,12.636,5.33962,4.29615,1.26808,1.47351,16.3146,14.732,1.13527,5.81779,5.25337,1.75695,9.39616,9.69845,3.1567,0.240799,8.26656,11.0503,6.46281,0.337346,1.66036,3.00621,1.39522
6.826666667,5.30363,8.60679,10.187,0.0870439,4.88601,22.5696,4.57967,5.26405,1.40719,1.94513,1.11303,0.878188,15.6648,15.2611,4.09111,13.5219,10.9456,1.8971,2.59041,3.66763,1.72585,1.79397,7.59776,1.33269,5.3321,2.47399,2.83264,19.2468,21.5062,2.59699,3.62394,2.8879,1.81312,4.10564,4.20164,3.40559,0.938893,8.35703,9.41895,6.14206,0.895541,2.0954,1.54515,2.85507,1.39009,0.420393,1.31872,0.816463,0.980212,10.9019,15.9464,7.61584,15.2905,14.4735,1.31061,0.878467,3.20722,0.65429,0.975402,4.94629,3.09393,1.15709,0.535645,4.60958,11.7782,9.64553,1.59957,4.88334,3.42133,1.67097,3.34865,2.07815,2.00382,0.971262,15.9827,20.3552,2.86731,2.1356,7.09777,1.21064,4.29345,4.45887,5.93028,0.955544,2.16449,2.5767,7.06947,10.5508,4.16671,14.6221,16.7731,0.582845,2.00046,5.29655,0.285764,4.95833,6.03936,22.0228,3.44961,0.153463,6.84869,7.45682,4.78642,0.148184,1.99293,0.902672,2.16715,6.3078,1.86159,5.20685,0.175701,7.34566,40.4561,15.0398,0.126228,6.87522,4.53844,0.881542,4.69043,5.27084,0.579796,1.33878,5.52943,5.59034,8.94564,0.380933,3.46725,17.2842,4.94241,3.42526,2.00085,1.97174,0.692393,1.59783,10.159,11.2553,2.09567,8.90541,9.97078,1.93945,1.30285,4.33047,0.919885,0.477138,9.46248,2.119,2.59841,0.788732,1.35888,12.403,14.6831,2.71079,3.72727,4.23374,1.16158,5.07365,6.23244,2.01498,0.600675,5.83822,6.6864,4.27609,0.540684,0.995213,1.431,1.03081
8.192000000,2.76114,3.08884,6.20571,1.12646,2.06193,15.5871,2.12927,3.6261,0.433509,0.271103,0.144221,0.0882311,11.5113,11.9013,5.27161,10.6575,6.11803,0.432779,0.801048,1.63074,0.48564,0.271392,5.58251,0.00354577,2.35242,3.17872,2.75484,13.9848,21.3642,2.96371,2.62525,1.85874,1.13118,1.30729,1.73441,1.79547,1.81064,7.17232,4.20536,4.50956,1.16586,1.92758,0.152089,3.71754,2.24017,1.39482,0.683139,0.244976,0.173787,7.13145,12.7221,9.9746,11.4369,10.9243,0.688467,0.451504,1.93676,1.66298,0.930155,4.76075,2.77442,1.22856,1.11219,2.52724,6.2076,8.15037,3.44136,2.53075,1.62035,0.43762,1.75387,0.957299,1.31089,1.35938,13.355,16.8147,1.43029,4.09567,3.59862,0.341151,2.50014,1.05707,4.22142,0.650022,0.337431,0.957931,3.98437,7.06301,5.84707,11.647,12.523,0.676571,0.522942,3.38872,0.0116221,2.64419,0.923748,16.5325,1.18486,0.72057,4.89958,2.55576,2.69186,0.0884534,1.05185,0.0616826,0.589299,3.85043,0.320309,2.13513,0.505672,3.59504,31.2557,11.2044,0.579067,5.82393,3.38663,0.645931,1.97358,2.44967,1.32008,0.638726,3.24209,1.10994,5.81856,0.595833,2.0859,10.2603,5.24262,2.83694,0.289287,1.74551,0.454771,0.365276,6.17798,9.83183,2.58412,6.9508,6.49069,0.684184,0.513187,2.01196,0.318211,0.253111,7.10644,1.11222,1.65249,0.538051,1.7955,8.26408,14.2291,3.94283,1.99186,4.01329,1.95674,1.68907,3.98374,1.06739,1.37475,3.40483,3.65283,2.69424,1.04068,0.492742,0.405357,1.20294
9.557333333,1.51625,0.622432,4.10395,1.89998,0.821691,11.2128,5.78802,4.02731,0.763227,0.0662482,0.252238,0.254149,8.93739,8.5448,4.69908,7.66192,3.81251,0.0545762,0.550629,0.686056,0.459987,0.712606,5.56844,1.47949,0.64237,4.11955,2.06886,11.0139,20.6848,2.31836,2.06336,1.51922,1.22043,0.193949,0.760294,0.903165,1.87308,6.38813,1.452,4.03089,0.660884,2.49591,0.844914,5.69833,4.34535,3.22922,0.405228,0.0760786,0.116777,4.97439,8.27276,10.865,6.41884,9.20619,0.33057,0.929918,0.924239,2.5822,1.80113,6.40065,4.60207,1.93987,1.32984,1.61532,2.18381,7.2101,4.10057,1.49128,0.727391,1.1523,1.64218,0.656238,0.710538,1.12741,11.4219,15.1035,0.27465,6.46973,1.36162,0.736743,2.18916,0.628729,3.42119,1.06322,0.169712,0.645814,3.42403,3.86989,6.37821,7.72295,9.53171,1.83394,0.380125,2.87395,0.151607,2.08749,0.567035,13.8668,0.878778,1.43598,3.83239,0.30834,2.06776,0.102024,1.00323,0.220854,0.340176,2.80334,0.481235,0.520754,1.83303,1.30823,25.3639,10.7115,1.24861,5.14754,3.20838,0.860903,0.738828,0.73121,2.30583,0.300658,2.44459,0.0243223,4.34252,0.686183,1.85844,4.94637,8.74172,3.75619,0.752028,1.9204,0.343642,0.0135911,3.79365,8.15069,2.15334,5.69503,5.03031,0.265756,1.25718,0.996128,0.299311,0.234644,6.02958,2.7326,1.4403,0.368469,1.95274,5.32183,12.7755,4.4025,0.816471,4.41933,3.28931,0.1615,2.81787,0.26219,2.22627,1.47498,2.51541,1.94743,1.60479,0.389221,0.0701372,1.77906
10.922666667,0.966456,0.290339,3.36271,1.21691,0.458146,10.2266,13.5859,6.58888,1.85199,0.594177,0.702886,0.727109,7.6943,5.35311,2.69114,5.0061,3.0048,0.0119182,1.04786,0.524389,0.68613,2.26454,7.90848,4.74695,0.467809,5.02891,1.58159,10.3498,18.9588,1.46562,1.61299,1.5417,1.31057,0.308454,0.714304,0.806596,1.10783,6.24997,1.64895,4.49527,0.139135,3.64268,3.31442,8.70264,7.35367,4.8901,0.724333,0.101479,0.0715583,4.32576,3.87393,10.371,1.91994,9.22554,0.356866,1.98282,0.478847,3.09676,4.13826,9.40713,7.39454,3.39307,1.34463,1.49258,0.249862,6.92714,2.77534,1.60669,0.782218,3.24637,2.66098,0.797788,0.340717,0.56091,10.2081,15.0638,0.373117,7.85487,0.92518,1.54339,3.20038,2.18212,2.94121,1.39023,0.826853,1.13047,4.49836,1.80207,5.63055,3.81267,7.93151,2.88577,0.837261,3.23718,0.329375,2.73595,3.91063,14.0263,1.25338,1.32625,3.38883,0.247436,2.18319,0.00883318,1.65021,0.771985,0.81628,2.703,1.08376,0.0689483,2.82691,0.0504964,24.1037,12.6757,2.06997,4.33601,2.97901,1.00247,0.499592,0.118378,2.94652,0.651094,2.46881,0.89252,4.00316,0.28558,2.08509,2.15787,13.5023,6.4746,2.66403,2.07526,0.180416,0.122182,2.62376,6.04465,1.50055,5.15594,4.98937,0.391885,2.51095,1.15209,0.518145,0.0160762,6.62025,5.96824,1.99476,0.575939,1.65142,3.86005,10.4339,3.98529,0.305358,5.42471,4.05856,0.106879,2.46217,0.0789998,2.91445,0.642466,2.96511,2.41136,2.36696,0.720785,0.580634,2.96909
