Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4Ozk6GESL4KkJ0C1yXgDLf,"Fuck Me Eyes","Willoughby Tucker, I'll Always Love You","Ethel Cain",2025-08-08,364800,65,true,,2026-02-27T05:00:32Z,"southern gothic","Daughters of Cain Records",0.191,0.691,7,-6.848,1,0.0382,0.00159,0.000274,0.107,0.0625,100.228,4
spotify:track:3a3zDlE4bgI6ZvU00m6o84,"Cross Your Mind","Shelly 2","Shelly",2025-07-01,228692,65,false,,2026-02-27T05:00:32Z,"lo-fi indie","Orange Hill Records",0.717,0.736,2,-7.59,1,0.0267,0.505,0.05,0.133,0.756,135.002,4
spotify:track:213XNePBS3v9QW0lnPUXmZ,"Truth Of Pursuit","Fleeting","Sarah Kinsley",2026-02-13,171386,64,false,,2026-02-27T05:00:32Z,"","Sarah Kinsley Verve Forecast",0.499,0.719,8,-5.81,1,0.0356,0.118,0.00000299,0.103,0.531,98.014,4
spotify:track:0DTSnA1bcVI5niJzoyBPyZ,"Past Won't Leave My Bed","Past Won't Leave My Bed","Joji",2025-11-07,166106,64,false,,2026-02-27T05:00:32Z,"","Palace Creek",0.369,0.472,5,-8.998,1,0.0474,0.864,0.000722,0.162,0.206,69.989,4
spotify:track:0xiySkh9JAa1f3r6MdBUa3,"Thirst Trap","Who's the Clown?","Audrey Hobert",2025-08-15,185533,64,true,,2026-02-27T05:00:32Z,"","Audrey Hobert/RCA Records",0.71,0.712,3,-6.764,1,0.0463,0.0804,0.00000753,0.0674,0.596,118.953,4
spotify:track:1efXUbx5gsLd2sqjszBtx1,"Headphones On","Headphones On","Addison Rae",2025-04-18,240308,64,false,,2026-02-27T05:00:32Z,"","Columbia",0.604,0.816,6,-7.029,0,0.0415,0.0228,0.0172,0.117,0.841,94.015,4
spotify:track:1GexRDFzRQpNkflfXgI2lM,"Tough Luck","Tough Luck","Laufey",2025-05-15,192866,63,true,,2026-02-27T05:00:32Z,"","Vingolf Recordings",0.678,0.399,6,-6.96,1,0.0367,0.463,0,0.117,0.233,117.973,4
spotify:track:1kdHE79HtKUGmJ1vDyp69j,"2SIDED","2SIDED","Arlo Parks",2026-01-13,177473,63,false,,2026-02-27T05:00:32Z,"","Transgressive",0.459,0.596,7,-9.81,0,0.046,0.00255,0.0000738,0.102,0.367,114.827,4
spotify:track:6786wQ6hLGYDqIcl0x2Nmk,"Take A Drive","Take A Drive","Rex Orange County",2025-09-09,225000,63,false,,2026-02-27T05:00:32Z,"bedroompop","Rex Orange County",0.823,0.526,2,-7.81,1,0.0289,0.143,0,0.0851,0.637,111.991,4
spotify:track:5916POJDlPQRBbe1SJc7uK,"Good Girl","Good Girl","Paris Paloma",2026-01-30,263228,63,false,,2026-02-27T05:00:32Z,"","Nettwerk Music Group",0.616,0.77,7,-6.216,1,0.247,0.144,0,0.163,0.269,128.978,4
spotify:track:4ejDIKJgiukea84koZCHOk,"When Did You Stop Loving Me?","Soft 2","LANY",2026-03-13,230521,63,false,,2026-03-13T04:00:45Z,"","LANY",0.548,0.625,4,-5.075,1,0.0264,0.00806,0,0.146,0.454,96.947,4
spotify:track:03y6MsaseYEO7DfwqsgcAI,"Delete Ya","Delete Ya","Djo",2025-02-27,203349,63,false,,2026-02-27T05:00:32Z,"","Djo",0.832,0.674,8,-6.381,1,0.0419,0.25,0.0627,0.481,0.841,118.029,4
spotify:track:4zgFh0ZXkVcyXpJbteYviU,"Heaven","Heaven","Arlo Parks",2026-02-02,266129,62,false,,2026-02-27T05:00:32Z,"","Transgressive",0.453,0.819,10,-9.858,1,0.049,0.237,0.566,0.216,0.355,119.998,4
