TIME,30.2419,30.5707,30.9066,31.25,31.6011,31.9602,32.3276,32.7035,33.0882,33.4821,33.8855,34.2988,34.7222,35.1562,35.6013,36.0577,36.526,37.0066,37.5,38.0068,38.5274,39.0625,39.6127,40.1786,40.7609,41.3603,41.9776,42.6136,43.2692,43.9453,44.6429,45.3629,46.1066,46.875,47.6695,48.4914,49.3421,50.2232,51.1364,52.0833,53.066,54.0865,55.1471,56.25,57.398,58.5937,59.8404,61.1413,62.5,63.9205,65.407,66.9643,68.5976,70.3125,72.1154,74.0132,76.0135,78.125,80.3571,82.7206,85.2273,87.8906,90.7258,93.75,96.9828,100.446,104.167,108.173,112.5,117.187,122.283,127.841,133.929,140.625,148.026,156.25,165.441,175.781,187.5,200.893,216.346,234.375,255.682,281.25,312.5,351.562,401.786,468.75
0.000000000,0.136589,0.280271,0.161569,0.0322244,0.0318863,0.0235175,0.0529526,0.13826,0.0937881,0.0267527,0.0166022,0.0301062,0.0573749,0.162371,0.0913626,0.0231872,0.0149227,0.0302694,0.140305,0.154304,0.0646611,0.0302043,0.029552,0.045524,0.072452,0.0573647,0.110938,0.082943,0.0280185,0.0445791,0.0874414,0.0397647,0.0102652,0.0202207,0.0279786,0.0997268,0.111164,0.0290632,0.0279202,0.0573544,0.0403218,0.0824532,0.0769364,0.029504,0.0155887,0.0265745,0.026754,0.0382191,0.0558725,0.0291452,0.0124161,0.01129,0.0298043,0.0605141,0.0363291,0.0315539,0.0144307,0.0475538,0.115144,0.0700397,0.0259678,0.0318299,0.0457765,0.0330091,0.084497,0.0868158,0.04019,0.0361142,0.0330178,0.0570793,0.231146,0.173357,0.0515053,0.0297591,0.0420338,0.0652897,0.0466402,0.0402171,0.0278748,0.0113099,0.0325932,0.0651316,0.0472084,0.0211153,0.0185113,0.0159315,0.039615,0.0917943
1.365333333,0.139341,0.286338,0.186761,0.0474838,0.0426279,0.0353758,0.0539405,0.144733,0.125858,0.0330125,0.0179344,0.0306545,0.0638972,0.189142,0.124929,0.0336176,0.0183431,0.0302694,0.144658,0.17467,0.0844292,0.0311627,0.0301713,0.0497552,0.0823316,0.0771406,0.115686,0.0838091,0.0295878,0.0473972,0.097867,0.0668602,0.0314337,0.0292405,0.0332913,0.10394,0.113843,0.0348129,0.0441006,0.0737182,0.0432083,0.0863909,0.0988225,0.0467269,0.0179269,0.0275824,0.0365017,0.0845951,0.100922,0.034318,0.0129494,0.0121251,0.0310173,0.0816021,0.0563184,0.0336815,0.0145976,0.0490372,0.135282,0.107832,0.0428767,0.0320937,0.0459139,0.0344289,0.0929052,0.105514,0.0510018,0.0397041,0.037647,0.0653525,0.24442,0.180239,0.0559895,0.0298831,0.0424636,0.0656398,0.0609998,0.0498638,0.0297756,0.0115869,0.0381424,0.0899377,0.0659311,0.0262535,0.0209887,0.0159315,0.041514,0.104874
2.730666667,0.143072,0.33579,0.202015,0.0475193,0.0428666,0.0393559,0.0603764,0.182982,0.130681,0.0411224,0.0410584,0.0454576,0.0689986,0.190592,0.125544,0.0402485,0.0622479,0.0571268,0.16009,0.179709,0.0881001,0.046528,0.0386975,0.0719153,0.102181,0.0832899,0.124617,0.0990862,0.0305841,0.0492898,0.105626,0.0684737,0.0336118,0.0304774,0.0350271,0.110342,0.127467,0.0409427,0.0450394,0.0739448,0.045402,0.0919501,0.106207,0.0603615,0.026495,0.0284424,0.0371135,0.087278,0.102016,0.0360387,0.0170228,0.0144934,0.0385822,0.0861302,0.0567948,0.034228,0.0154619,0.0505389,0.144058,0.118892,0.0498381,0.0349186,0.0473137,0.0351156,0.0959315,0.110755,0.0628387,0.0508967,0.0411336,0.0661615,0.251808,0.187382,0.0630503,0.0396362,0.0453206,0.0745939,0.0768253,0.0637448,0.0432272,0.0162304,0.0391204,0.0960217,0.0812469,0.0336645,0.034099,0.0209712,0.0546067,0.128073
4.096000000,0.145005,0.378062,0.278389,0.0503008,0.0432979,0.04175,0.0882526,0.268953,0.160076,0.0447201,0.0440237,0.0518174,0.0946775,0.221524,0.128664,0.040457,0.0623147,0.0571352,0.163522,0.188715,0.0912676,0.0478284,0.0396779,0.0722047,0.102892,0.0860199,0.124732,0.100038,0.0321953,0.0541281,0.110231,0.0710471,0.0339999,0.031221,0.036311,0.114436,0.135421,0.0507184,0.0614723,0.0948886,0.0469218,0.0991881,0.117308,0.0638445,0.0408442,0.0453488,0.0400546,0.0889345,0.102413,0.0364776,0.0186892,0.0189072,0.0418188,0.0873162,0.0574002,0.0348253,0.0193525,0.0695439,0.156824,0.12267,0.0580343,0.0465967,0.0580236,0.0470099,0.112449,0.130405,0.0719313,0.0723447,0.0570174,0.0730419,0.261197,0.194209,0.0634985,0.070815,0.0583729,0.0758328,0.0786869,0.0666347,0.0458189,0.0173451,0.0391205,0.09662,0.0901467,0.0343402,0.0379666,0.0246633,0.0612552,0.173971
5.461333333,0.159309,0.383764,0.289171,0.0586757,0.0538108,0.0534226,0.0926353,0.276701,0.164662,0.0481882,0.0533214,0.057781,0.0980734,0.231176,0.134263,0.0438808,0.0623147,0.0584906,0.173856,0.197016,0.095928,0.0613589,0.0454616,0.0735373,0.110864,0.0910143,0.126486,0.105332,0.0385111,0.060248,0.122408,0.0840387,0.0422724,0.0392328,0.0468901,0.128206,0.145386,0.0620592,0.0707884,0.100992,0.0497409,0.101694,0.127798,0.0724152,0.0408442,0.0484903,0.0421889,0.0900773,0.103381,0.0373384,0.0301654,0.0231202,0.0420635,0.0886144,0.0578818,0.0411791,0.0347447,0.075748,0.157583,0.123933,0.062778,0.0614679,0.0639958,0.0470879,0.114247,0.132723,0.0750749,0.0762878,0.0603998,0.0749796,0.264838,0.198604,0.0652344,0.071995,0.0625499,0.0812303,0.0801021,0.0666347,0.0458189,0.0179841,0.0394064,0.0966233,0.0903407,0.0351436,0.0387493,0.0269952,0.0642201,0.175196
6.826666667,0.159647,0.427677,0.332843,0.0669234,0.0696024,0.0646475,0.107365,0.291978,0.172544,0.0625601,0.0718574,0.0632156,0.0992329,0.234204,0.139248,0.0525912,0.0711774,0.0622319,0.191263,0.236268,0.108397,0.0637065,0.0486176,0.0739981,0.138453,0.107067,0.126486,0.109538,0.0507456,0.0619959,0.179088,0.158409,0.0705437,0.0627601,0.0589669,0.133308,0.207832,0.107267,0.0816907,0.109416,0.0502625,0.152493,0.222898,0.09515,0.0507831,0.0558461,0.0506023,0.15119,0.13111,0.0380545,0.0404302,0.0353753,0.0529163,0.147889,0.0705032,0.0570883,0.0510944,0.0831454,0.198454,0.178017,0.0721251,0.0744844,0.0757825,0.0479331,0.161916,0.165952,0.0841873,0.0783788,0.0621431,0.0888996,0.308485,0.244124,0.0714183,0.0802756,0.0738422,0.0883171,0.12079,0.0915178,0.0599088,0.0345718,0.0472435,0.111116,0.170918,0.0506206,0.0465581,0.034801,0.0644574,0.242854
8.192000000,0.16555,0.528083,0.479167,0.0920788,0.0980749,0.0824796,0.12583,0.360968,0.192482,0.0646672,0.0767129,0.0746816,0.12676,0.253831,0.13929,0.057172,0.0794218,0.0622328,0.194155,0.263336,0.111098,0.0758658,0.0528696,0.0822549,0.186856,0.15336,0.1338,0.119464,0.0580245,0.0697947,0.180395,0.1587,0.07368,0.0752109,0.0708162,0.149378,0.230579,0.120095,0.0889263,0.1219,0.0595233,0.162026,0.227084,0.0970207,0.0605937,0.0658562,0.0692412,0.237007,0.205022,0.0463928,0.0669892,0.0471112,0.112072,0.214676,0.0890302,0.0644236,0.0609389,0.0866123,0.198671,0.180811,0.0814205,0.0961743,0.0986094,0.0501086,0.191326,0.198014,0.0947225,0.0856751,0.0650913,0.0947678,0.316405,0.245416,0.0735727,0.0814327,0.0744743,0.0986307,0.139164,0.101766,0.0754029,0.053054,0.067363,0.135299,0.170918,0.0506206,0.0465581,0.034801,0.0644574,0.25776
9.557333333,0.165921,0.531385,0.49425,0.100265,0.106663,0.0853428,0.12583,0.369312,0.204182,0.0663741,0.0833627,0.084336,0.127062,0.256956,0.140967,0.0582705,0.0840339,0.0623643,0.202858,0.284476,0.124273,0.0759501,0.0533746,0.0831027,0.207698,0.201273,0.139009,0.120896,0.0597037,0.070585,0.197276,0.168044,0.07368,0.0988923,0.0773118,0.153796,0.241984,0.12631,0.0903325,0.127046,0.0618624,0.20163,0.280957,0.10882,0.0605937,0.071094,0.0719115,0.349381,0.257445,0.0483103,0.0671584,0.0475597,0.112132,0.226071,0.0919442,0.0644236,0.0701327,0.0895805,0.223581,0.210854,0.089179,0.0961748,0.0986094,0.0501164,0.206089,0.217378,0.0980145,0.0890898,0.0715588,0.109485,0.417603,0.278478,0.0737858,0.0824051,0.0744873,0.103806,0.161118,0.110869,0.0758076,0.0647876,0.067363,0.158194,0.196443,0.0526036,0.0521694,0.0414453,0.0650637,0.282592
10.922666667,0.169288,0.586606,0.59299,0.111799,0.111214,0.116476,0.249529,0.414199,0.210223,0.0688083,0.0857297,0.0856826,0.127544,0.257633,0.14106,0.0582705,0.0842768,0.0626788,0.20506,0.287338,0.124712,0.0759756,0.0533837,0.0863916,0.235302,0.219357,0.146967,0.146627,0.0990869,0.103161,0.207595,0.177259,0.0775632,0.103819,0.0814089,0.154787,0.243165,0.131544,0.0936234,0.127542,0.0635937,0.206144,0.285548,0.109291,0.0605937,0.0758002,0.0804129,0.360426,0.269894,0.0548447,0.0740708,0.0555844,0.117765,0.24079,0.102442,0.0655383,0.0713209,0.0902038,0.225399,0.213665,0.0898531,0.101074,0.107851,0.050476,0.206695,0.21771,0.0990983,0.0906784,0.0720256,0.118416,0.467953,0.333844,0.0770897,0.0859158,0.074659,0.106657,0.165596,0.112463,0.0758299,0.0654626,0.0675372,0.158801,0.19693,0.053193,0.0554302,0.0434248,0.0651689,0.283412
